rank,iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
20,BRA,Brazil,UMC,Upper-Middle Income,True,2185821648943.86,4166273441898.55,0.0,12513954.860824931,12513954.860824931,0.0003003632631256768,-2642112668778.6133,2642137696688.335,0.0,0.0,0.06465956026029852,182095796.18767026,12513954.860824931,Low Probability,1.9529699522069361
21,GRC,Greece,HIC,High Income,True,256238371778.118,389924903122.161,0.0,11387202.5634663,11387202.5634663,0.0029203578618057025,-309718299656.7033,309741074061.83026,0.0,0.0,0.9121423011574112,161229763.63641676,11387202.5634663,High-Potential Prospect,0.17486757425867863
22,BGR,Bulgaria,HIC,High Income,True,113343355779.985,220435278526.734,0.0,10265133.403517852,10265133.403517852,0.004656756156330446,-136994203985.34363,137014734252.15067,0.0,0.0,0.36028000881509037,47425631.871607445,10265133.403517852,Emerging Prospect,1.0386863960752137
23,ARG,Argentina,UMC,Upper-Middle Income,True,638365455340.04,1223376004342.6,0.0,6593945.244179174,6593945.244179174,0.0005389957969400039,-771621524092.6516,771634711983.1399,0.0,0.0,0.11666184611147096,92434079.16617012,6593945.244179174,Low Probability,1.6808422508860712
24,RUS,Russian Federation,HIC,High Income,True,2173835806671.66,6088997179872.49,0.0,5074660.527654333,5074660.527654333,8.334148264067026e-05,-2627632148490.813,2627642297811.8687,0.0,0.0,0.026365325826911416,174839930.80603713,5074660.527654333,Low Probability,2.3176405770830413
25,ISL,Iceland,HIC,High Income,True,33255181468.9382,26015741028.9644,0.0,4715272.255466325,4715272.255466325,0.018124689395610977,-40192687136.082504,40202117680.59343,0.0,0.0,0.9026311979567689,33668409.59673914,4715272.255466325,High-Potential Prospect,0.19067196449034074
26,ARE,United Arab Emirates,HIC,High Income,True,552324846834.581,765771908236.642,0.0,4455603.24097292,4455603.24097292,0.0005818446972327472,-667621554769.6375,667630465976.1194,0.0,0.0,0.091109741829149,74509896.9370672,4455603.24097292,Low Probability,1.7986522200740496
27,THA,Thailand,UMC,Upper-Middle Income,True,526517658841.684,1558101282937.74,0.0,3564363.9901704434,3564363.9901704434,0.00022876330500479227,-636427850912.5701,636434979640.5503,0.0,0.0,0.07645783416972227,83855585.11791354,3564363.9901704434,Low Probability,1.8787682382504718
28,IDN,Indonesia,UMC,Upper-Middle Income,True,1396300098190.97,4102194303076.81,0.0,3269862.9607708217,3269862.9607708217,7.971009462711929e-05,-1687782947217.524,1687789486943.4453,0.0,0.0,0.02644865970625646,132190179.50486454,3269862.9607708217,Low Probability,2.316439494923255
29,CHL,Chile,HIC,High Income,True,330267137371.592,596555875617.396,0.0,2800186.659282163,2800186.659282163,0.000469392184995941,-399209606324.3674,399215206697.686,0.0,0.0,0.09575787626933374,62930946.76310687,2800186.659282163,Low Probability,1.775415535884454
30,MLT,Malta,HIC,High Income,True,24971574502.4475,35666988034.4529,0.0,2485965.81968689,2485965.81968689,0.006969934824004609,-30182056253.030037,30187028184.66941,0.0,0.0,0.39602341140935404,14433644.748614624,2485965.81968689,Emerging Prospect,0.9729591278448025
31,VNM,Viet Nam,LMC,Lower-Middle Income,True,476388230307.175,1455759302312.16,0.0,2353998.534940355,2353998.534940355,0.00016170245528924565,-575834810328.475,575839518325.5448,0.0,0.0,0.05580820453888785,69966965.06574517,2353998.534940355,Low Probability,2.0163796665529086
32,COL,Colombia,UMC,Upper-Middle Income,True,418818154879.271,977192682078.988,0.0,2168742.3751342776,2168742.3751342776,0.00022193600248011014,-506246817549.42053,506251155034.1708,0.0,0.0,0.05848376881886517,42210829.186023615,2168742.3751342776,Low Probability,1.9963804900072175
33,GEO,Georgia,UMC,Upper-Middle Income,True,34189423544.9955,92059436458.5108,0.0,2132439.8539785664,2132439.8539785664,0.0023163729173376058,-41324540747.32949,41328805627.03745,0.0,0.0,0.24811707112665587,18365347.37978709,2132439.8539785664,Emerging Prospect,1.275611424387784
34,PER,Peru,UMC,Upper-Middle Income,True,289221969062.941,535911373084.806,0.0,2094686.9506982022,2094686.9506982022,0.0003908644331693863,-349596715550.0069,349600904923.90826,0.0,0.0,0.08179763257277128,47633490.9122819,2094686.9506982022,Low Probability,1.848234680699609
35,QAT,Qatar,HIC,High Income,True,219162637362.637,316903289158.333,0.0,2058320.0451634007,2058320.0451634007,0.0006495104707275573,-264912109571.87494,264916226211.96527,0.0,0.0,0.10607163693882399,40237805.673950225,2058320.0451634007,Low Probability,1.7269077111095932
36,MYS,Malaysia,UMC,Upper-Middle Income,True,422227005428.688,1213093813799.27,0.0,1849240.1320546044,1849240.1320546044,0.00015243999359480678,-510367605839.74664,510371304320.0108,0.0,0.0,0.04946524772614925,61021191.31628375,1849240.1320546044,Low Probability,2.0672020371458966
37,ALB,Albania,UMC,Upper-Middle Income,True,27046429296.6673,51443601344.7113,0.0,1841720.2402125455,1841720.2402125455,0.003580076417806789,-32690693822.297295,32694377262.777718,0.0,0.0,0.2708852497863329,13455827.855326612,1841720.2402125455,Emerging Prospect,1.2226093091738883
38,PHL,Philippines,LMC,Lower-Middle Income,True,461617509782.355,1201987017721.73,0.0,1806259.48589875,1806259.48589875,0.00015027279490275775,-557981159997.612,557984772516.5837,0.0,0.0,0.04419272204209217,63310172.31660279,1806259.48589875,Low Probability,2.113802308234625
39,BIH,Bosnia and Herzegovina,UMC,Upper-Middle Income,True,29613572022.8993,64954815907.2616,0.0,1788980.6088067205,1788980.6088067205,0.002754192408705945,-35793795910.86615,35797373872.08377,0.0,0.0,0.24031809418793054,15210742.194723498,1788980.6088067205,Emerging Prospect,1.2945246692700763
