iso3,gdp_usd,gdp_per_capita_usd,govt_revenue_pct_gdp,govt_expenditure_pct_gdp,trade_openness,gov_effectiveness
JOR,53352289577.4648,4618.09592498567,23.2463327043058,28.4369963842512,99.6794477365724,0.2162114
KEN,120339557905.932,2132.43452097647,18.6388294257783,27.8446410955634,40.1860139968756,-0.2978904
KGZ,17478259659.2625,2420.18542283831,31.6125287881916,23.7050047610836,127.650577802859,-0.8885033
KHM,46352647037.2406,2627.87969756224,13.7594390632248,12.9497206702999,143.447009703011,-0.293501299999999
KIR,307862564.489711,2288.63471423684,81.0745050588804,84.5644527917589,107.603778509938,-0.4343103
LAO,16502933121.3379,2123.97909415109,13.9139885255551,10.3160241648868,,-0.5819014
LBN,20078620356.9931,3477.72489842684,13.4502729024075,6.29571108447612,104.206410069182,-1.1301199
LKA,98963185509.6499,4515.56787322732,11.1190517645773,18.1135068059197,42.3975008711047,-0.2745215
LSO,2271759454.51107,971.90771824829,44.2378749156537,40.2346111006294,141.51375589725,-0.6470887
MAR,160610994054.734,4153.1943359375,26.1522312520082,26.6111381429324,92.1872446062404,0.1763559
MMR,74068349523.8095,1359.05001560107,14.3891961645863,13.7755198098588,,-1.5583075
MRT,10908045686.8808,2110.12036938187,,,93.5988355881472,-0.741247299999999
NAM,13372354511.716,4413.12752211572,35.5486967892555,36.4955503604922,109.628509818932,0.0993430999999999
NGA,252261880141.151,1084.16041805436,,,,-1.0065889
NIC,19693982967.5926,2847.53966339498,21.5219298022886,16.2819508478816,98.5258377100159,-1.0529768
NPL,42914268286.7109,1447.31004458428,16.5336746124968,19.4418821873399,40.5298226771909,-0.8845295
PAK,371570000121.266,1478.77277977996,,,27.5784683520695,-0.6003273
PHL,461617509782.355,3984.8315387656,16.6951628160181,16.8805903401184,65.8854725286968,0.1445214
PNG,31800428265.5246,3006.70564478923,16.8608363352246,20.3235696640344,,-0.900446699999999
PSE,13711100000.0,2592.30591217647,,26.1664917273852,81.3136801569531,-1.0985907
SEN,32808056600.9436,1773.21829923448,24.1739336241686,23.5632436487827,68.1405147656211,0.2344127
SLB,1583964703.75061,1933.55538435227,24.6272216717746,28.8903334458529,111.352972064455,-0.868619199999999
STP,822154621.088897,3490.56883486557,,,,-0.718673799999999
SWZ,4858885840.77236,3909.55892378182,25.0880373762125,24.6155754063595,107.480621053879,-0.7811414
TJK,14204575548.5536,1341.20229027672,18.9807277216363,11.0194157341873,65.6347010367354,-0.6009336
TLS,1865608515.41321,1331.9705130185,51.4675238401168,52.4935014691698,95.4485021286221,-0.898562299999999
TUN,51332285656.5422,4181.13789301228,,,106.298549204247,-0.2393469
TZA,78844405385.2195,1186.71691894531,14.5492973125506,16.4222146538124,41.5131207208244,-0.2924507
UZB,114965293466.611,3161.70010632875,20.2816265943835,23.4077199970825,60.7274403812997,-0.1435922
VNM,476388230307.175,4717.29028732449,,,173.862024782965,-0.0922968
VUT,1117972034.22642,3410.77023167097,25.7295337784867,28.3371088388645,63.5996121674253,-0.8168523
ZMB,25303185342.2511,1187.10943350064,21.9673977518021,25.1370961006544,62.5348874064443,-0.5330555
ZWE,41539411516.4448,2497.20332208763,8.11695829520314,10.9772842777823,41.4865312656314,-0.9876299
ALB,27046429296.6673,11377.7757431099,26.1165231553122,25.4359718739727,79.4546360752224,0.3123437
ARG,638365455340.04,13969.7836603737,16.8606958335516,21.00878925888,27.929760849367,0.1837479
ARM,25955275380.0321,8556.21406956719,24.1409039589361,20.9471499751251,150.064726588742,-0.3640294
AZE,74315882352.9412,7283.8499076179,39.7805578193171,23.0088211493834,82.6898691594703,0.1661183
BIH,29613572022.8993,9358.78768951134,37.7957798423767,35.2955105967778,95.1562957108171,-0.6353163
BLR,75961865471.9129,8317.63399913792,29.1198526202944,28.4675083787373,131.91792910245,-0.7015463
BLZ,3203631800.0,7681.24400583113,,,108.972446521476,-0.129095
BRA,2185821648943.86,10310.5488778166,26.4469343560039,32.4311004876146,35.5845239385389,-0.224002999999999
BWA,19402063512.9066,7695.75319445165,28.1737566957243,26.3691849239333,71.1052579052124,0.4168893
CHN,18743803170827.2,13303.1481543868,14.9215564859108,,37.1984201388065,0.8957842
COL,418818154879.271,7919.20886825345,25.9527799478132,33.3358903472043,37.0254687077888,-0.111099099999999
CPV,2725414150.72735,5192.48157325878,21.5670295735424,30.88206490392,96.5053536678629,0.4151952
CUB,107352000000.0,9605.27914559614,,,124.863238865053,-0.2695183
DMA,688881481.481481,10405.2787777582,,,,0.1490422
DOM,124282245638.568,10875.6618443092,17.4959013786011,18.066236602366,51.7835143952326,0.0746487
DZA,269322281664.773,5752.99076651465,,,40.1345741170703,-0.2511914
ECU,124676074700.0,6874.705739766,30.9625405355437,30.4365983203311,57.2031395531255,-0.2196127
FJI,5968125909.27126,6425.74151715712,26.6155546921514,27.7596127035997,,0.6089609
GAB,20895684425.6752,8230.04311451151,15.1149123543005,14.0519584891303,92.0468055151256,-0.5671547
GEO,34189423544.9955,9241.49122313713,28.7080700932836,25.241719707501,103.456471449056,0.4562672
GNQ,12765777677.0622,6745.40013244916,26.4498757804947,11.0452921646904,60.5414510975907,-1.1825117
GRD,1371918518.51852,11705.0902976658,,,,0.0201444
GTM,113199581158.203,6150.02571438505,12.7788298523869,13.5008017351529,47.344196760267,-0.9093696
IDN,1396300098190.97,4925.43048751861,,,42.572647301834,0.179804
IRN,475252089215.416,5190.16959024821,,,52.0621306794348,-0.7061233
IRQ,279641257615.385,6073.61032342708,38.6038295065324,27.6121352770907,70.7087434748943,-1.1018847
JAM,22014397089.7689,7753.8006955432,26.937333176305,27.4675611588785,,0.1712622
