iso3,year,gdp_usd,gdp_per_capita_usd,trade_openness,govt_revenue_pct_gdp,govt_expenditure_pct_gdp,rd_pct_gdp,gov_effectiveness
ISR,1986,35834154873.5622,8335.46286893748,66.3079343492131,43.3174699074155,49.7619243012658,,
ISR,1987,43049543634.9607,9853.40893452981,69.0354938988822,40.5873239167504,46.9650426954384,,
ISR,1988,52650948910.3748,11852.9826452892,60.2518467572641,34.8470476778198,41.2214482248948,,
ISR,1989,52443479454.114,11607.6758419907,62.8993141951629,34.1832661813876,41.9913163604062,,
ISR,1990,62016729540.7093,13308.311060238,60.8974222016244,33.8183240313888,42.1529816207714,,
ISR,1991,70998755006.9019,14346.0810278646,55.7180811923951,24.5702975002424,30.2713135080832,,
ISR,1992,79457685757.166,15509.9913638817,54.9072515488719,32.3934573380563,39.0415497753949,,
ISR,1993,79855877174.4429,15178.8399875391,60.0140704374175,32.5141423168634,37.3597150082976,,
ISR,1994,90740103828.6058,16806.8353081322,59.7877596777587,32.412180825847,36.5852596295407,,
ISR,1995,105497418058.646,19025.6840502517,59.3894071749673,34.0060791469521,38.6103345498185,,
ISR,1996,115116595544.694,20224.2789080629,58.1311357730736,33.6935375976697,39.8110991067881,2.4753,1.3619807
ISR,1997,119459826346.611,20469.4699017497,57.5674452599649,35.2153414733571,39.3236766384213,2.69533,
ISR,1998,120547409278.703,20188.8141481667,56.9044666793177,34.9080374014655,39.1281484572724,2.80723,1.3774284
ISR,1999,121417185061.719,19823.2138876277,64.7395856251294,34.4561111695359,38.6428827138881,3.21199,
ISR,2000,136512300542.025,21706.5194056329,68.3468590369834,36.6078196275386,40.2428392595452,3.81316,1.4483316
ISR,2001,135002039612.906,20966.3052667971,62.139584755155,36.1887665461675,42.356296104524,4.05338,
ISR,2002,125332331883.997,19076.4584298321,65.4711054145982,35.6474392654745,45.7473535431317,3.99197,1.493446
ISR,2003,131408914824.005,19643.4690380742,66.8817503698504,34.6630361611089,41.3671180494724,3.76142,1.4410103
ISR,2004,140047984605.087,20568.0694088834,74.9731995265147,34.4237512143581,40.0759316724949,3.74703,1.3780584
ISR,2005,147519922009.047,21286.8388636595,78.3242613769325,34.5727830139809,39.2915800691632,3.91123,1.4177286
ISR,2006,158900547825.306,22527.2619795719,78.4352889718463,35.1545877764968,38.3312504742011,4.01416,1.2719866
ISR,2007,184681214673.45,25721.2594077311,78.8371062996628,34.9253033313669,36.9085620855462,4.28533,1.1804772
ISR,2008,221231658862.876,30269.217773489,75.380922305658,32.9374852100983,37.4969372592649,4.24165,1.2768979
ISR,2009,213403181852.86,28508.4938886475,61.67564796397,30.3150962083878,37.9207348611601,4.01799,1.2296943
ISR,2010,239679036634.372,31439.0887027614,65.6330798689153,31.2240886189065,36.5624705305174,3.8421,1.3031018
ISR,2011,268094998225.028,34522.5215979073,68.9094378497374,31.2286756049695,36.1077745336826,3.91608,1.3431697
ISR,2012,263589172712.391,33321.4300881602,69.9650250827043,30.5180463090095,36.2501054846915,4.06028,1.3000012
ISR,2013,298478070673.058,37034.3161080785,64.1340511293501,31.1946526676198,36.164927835,4.10651,1.2984187
ISR,2014,315017088116.716,38343.3046626235,61.7133541160002,31.5347613368055,34.8737307897912,4.19613,1.3011387
ISR,2015,303469434072.296,36213.1041481958,58.897971915566,31.7973173433787,34.4575468006613,4.29761,1.4633523
ISR,2016,321940971558.016,37671.5389138798,57.7990316850783,31.5480653681918,34.4770513794653,4.59051,1.526777
ISR,2017,358451839052.991,41138.470964272,56.2801142540924,32.9619404976857,35.5449327749618,4.74032,1.545783
ISR,2018,376299083108.497,42362.6652754196,58.7437542387448,31.3861657238804,35.8193719010885,4.91965,1.397369
ISR,2019,400645216358.857,44250.6313628073,56.325348642584,30.7476812177275,35.2507340669333,5.35528,1.5693245
ISR,2020,410768352657.612,44575.5719045492,51.2366737920366,30.3890681003843,41.7968222478408,5.83209,1.1657244
ISR,2021,489851549972.347,52270.9040241956,54.9016842006986,32.6966854876469,38.1911260679267,5.75725,1.5896737
ISR,2022,525181008025.57,54949.621556429,60.6448526742952,33.2094104545735,35.2457931380657,6.17831,1.5237704
ISR,2023,512184638998.974,52003.7200729997,57.9903207136983,30.4091084233181,37.4364799128984,6.34589,1.3569151
ISR,2024,540379921261.681,54176.6844383302,54.4520002969727,31.5892139645298,,,1.1726244
ITA,1960,42012422612.3955,836.905850281885,,,,,
ITA,1961,46649487320.4225,923.08778375214,,,,,
ITA,1962,52413872628.0045,1030.15800343763,,,,,
ITA,1963,60035924617.9277,1171.3869628098,,,,,
ITA,1964,65720771779.4768,1271.80119301518,,,,,
ITA,1965,70717012186.1774,1357.0106162201,,,,,
ITA,1966,76622444787.3696,1458.94713889011,,,,,
ITA,1967,84401995573.2456,1595.48578129215,,,,,
ITA,1968,91485448147.84,1718.49646427147,,,,,
ITA,1969,100996667239.335,1886.45002730465,,,,,
ITA,1970,113656669764.56,2111.71986404332,30.0296336389733,,,,
ITA,1971,124959712858.926,2310.92376058816,30.3261935207482,,,,
ITA,1972,145594833997.344,2677.29372999774,31.749631565923,,,,
ITA,1973,175896529392.229,3212.63949627574,33.9863350341926,23.6227167768459,26.5588571366018,,
ITA,1974,200024444775.231,3629.49182319594,40.7090687382642,24.0901773935676,26.5199492742654,,
ITA,1975,228220643534.994,4116.45964933054,37.3144454322672,24.4269426279818,30.95882439616,,
ITA,1976,225235205861.828,4042.39482463789,41.0974307543282,25.7122729003269,29.9408475793941,,
ITA,1977,258190019749.835,4614.21004931651,41.7134160400496,26.7224319808429,30.0922554033754,,
ITA,1978,315784469541.41,5623.42917622719,41.1732919288899,28.0347569408204,33.8098452277431,,
ITA,1979,394584507107.9,7006.39699054556,43.6099072426685,28.2151242685943,35.6485852952388,,
ITA,1980,478356755595.749,8476.41045000836,42.8738408491883,29.5532577699257,38.4821393019698,,
ITA,1981,431695533980.583,7640.40241250516,45.1779120778045,28.9050541496485,,,
ITA,1982,428257421617.752,7573.93967597775,43.4082419852183,31.4280671975353,,,
ITA,1983,444063496940.337,7850.62789042275,40.0972777577362,33.5199963927935,,,
ITA,1984,438896930791.272,7757.55374836822,42.3380867149025,32.137798761247,,,
ITA,1985,453259761687.456,8009.10347642127,42.539111003159,31.5306475649046,,,
ITA,1986,641862313287.44,11341.0939892903,36.0801894012968,34.1606642149544,46.0406305106292,,
ITA,1987,807570134448.76,14267.5368168757,35.4808325109317,33.7760718815197,46.8827836087565,,
ITA,1988,893663934840.821,15780.9495122174,35.0303636931745,34.2821053544331,42.3224585964545,,
ITA,1989,930801709003.669,16424.4301587005,36.967566605846,35.3541378670425,43.2110131615767,,
ITA,1990,1183945130898.51,20873.7834092719,36.2382276733087,,43.1435311988436,,
ITA,1991,1249092439519.28,22007.1350964074,33.8005339555877,,43.9785676681832,,
ITA,1992,1323204350353.5,23297.0460325456,34.8334276236699,,46.9713442442411,,
ITA,1993,1067412587670.73,18781.9529427137,37.6724019624473,,48.0187528069307,,
ITA,1994,1101750159702.21,19382.2002150155,40.3620026081266,,45.7716321828864,,
ITA,1995,1177369428265.78,20712.1798690324,45.5795026636995,40.4937442511309,48.0454274109713,,
ITA,1996,1314776508972.27,23122.9337219116,42.8020490474117,40.777368242323,47.3139753226309,0.94421,0.7278188
ITA,1997,1244988176443.84,21883.9872666651,44.4771651978702,42.1816768569862,44.9631793358656,0.98522,
ITA,1998,1272729786996.77,22365.1837644545,44.997874273345,38.6209308895246,41.1098536280353,1.00275,0.5762609
ITA,1999,1255004736463.98,22049.9990620261,44.5298402267013,39.0503262834681,40.9068084344975,0.97865,
ITA,2000,1149661363439.38,20190.0035636084,50.2747311455639,37.0313032991035,39.3753190414545,1.00104,0.7494275
ITA,2001,1172041488805.87,20570.4385917862,49.8632723203495,36.87050916341,39.8629674197254,1.03714,
ITA,2002,1281746271196.04,22451.3964379368,47.8713186791542,36.5013544963443,39.343137327951,1.07704,0.7774041
