iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
ZAF,South Africa,UMC,Upper-Middle Income,True,401144998373.585,870347572712.603,0.0,1323656.2523714488,1323656.2523714488,0.0001520836380626677,-438483149544.8035,438485796857.3083,0.0,0.0,0.03726719616574057,198541098.72707793,1323656.2523714488,Low Probability,2.182759627616971
KAZ,Kazakhstan,UMC,Upper-Middle Income,True,291480274648.826,740796393997.686,0.0,1273903.4431873385,1273903.4431873385,0.000171964044845407,-318610637490.40375,318613185297.2901,0.0,0.0,0.049360576917900224,198014576.3738171,1273903.4431873385,Low Probability,2.0680855135550695
MKD,North Macedonia,UMC,Upper-Middle Income,True,16951682245.4202,44155482553.4128,0.0,1261963.4726678755,1261963.4726678755,0.0028579995046851495,-18528320829.262028,18530844756.207363,0.0,0.0,0.296145825492265,48031927.44466844,1261963.4726678755,Emerging Prospect,1.1671617488844857
MDA,Moldova,UMC,Upper-Middle Income,True,18200340853.6517,39341631754.8437,0.0,1073982.0806852328,1073982.0806852328,0.002729886974128889,-19893395358.556202,19895543322.71757,0.0,0.0,0.23474110654756458,41370247.35535227,1073982.0806852328,Emerging Prospect,1.3083101104777126
GTM,Guatemala,UMC,Upper-Middle Income,True,113199581158.203,232672713446.216,0.0,1033473.1958650086,1033473.1958650086,0.0004441746436691226,-123735418213.80418,123737485160.1959,0.0,0.0,0.10311154230765562,134938273.25016448,1033473.1958650086,Low Probability,1.7404313063600638
BGD,Bangladesh,LMC,Lower-Middle Income,True,450119432068.852,1472986459828.03,0.0,1004379.335231448,1004379.335231448,6.818659659293192e-05,-492016552485.37396,492018561244.0444,0.0,0.0,0.025201296969815122,229978193.15685454,1004379.335231448,Low Probability,2.3347710560020487
SRB,Serbia,UMC,Upper-Middle Income,True,90097765959.1114,177181823265.525,0.0,1000528.4426651835,1000528.4426651835,0.0005646902285037386,-98483267263.37643,98485268320.26178,0.0,0.0,0.12542043487488874,149774570.25705937,1000528.4426651835,Low Probability,1.6451605223923904
IRQ,Iraq,UMC,Upper-Middle Income,True,279641257615.385,585886626484.749,0.0,964776.5017472166,964776.5017472166,0.00016466948691690785,-305669927364.521,305671856917.52454,0.0,0.0,0.038965329780897874,298505812.3328616,964776.5017472166,Low Probability,2.16490239307564
CRI,Costa Rica,HIC,High Income,True,95350423176.5962,138371299881.655,0.0,929513.5788749497,929513.5788749497,0.0006717531595568849,-104224924593.04599,104226783620.20374,0.0,0.0,0.11009966546304911,124552065.631585,929513.5788749497,Low Probability,1.7089768829341925
PAK,Pakistan,LMC,Lower-Middle Income,True,371570000121.266,1382061800204.16,0.0,910701.0200818965,910701.0200818965,6.589437751245035e-05,-406155657176.10345,406157478578.1436,0.0,0.0,0.02768140096070618,191875441.467969,910701.0200818965,Low Probability,2.2990442091826564
PAN,Panama,HIC,High Income,True,86523959131.7472,164344052511.367,0.0,909287.9424487371,909287.9424487371,0.0005532831450568284,-94576893733.35063,94578712309.23552,0.0,0.0,0.11869103974315709,92007977.18681398,909287.9424487371,Low Probability,1.6723939700691925
