iso3,country_name,unga_alignment_score,wb_vote_share_score,ifc_presence_score,alignment_score,excluded_components
SLV,El Salvador,,0.0,0,0.0,unga_alignment_score
SRB,Serbia,,0.0,0,0.0,unga_alignment_score
SUR,Suriname,,0.0,0,0.0,unga_alignment_score
THA,Thailand,,0.0,100,50.0,unga_alignment_score
TKM,Turkmenistan,,0.0,0,0.0,unga_alignment_score
TON,Tonga,,0.0,0,0.0,unga_alignment_score
TUR,Turkiye,,0.0,100,50.0,unga_alignment_score
TUV,Tuvalu,,0.0,0,0.0,unga_alignment_score
UKR,Ukraine,,0.0,100,50.0,unga_alignment_score
VCT,St. Vincent and the Grenadines,,0.0,0,0.0,unga_alignment_score
VEN,"Venezuela, RB",,0.0,0,0.0,unga_alignment_score
WSM,Samoa,,0.0,0,0.0,unga_alignment_score
XKX,Kosovo,,0.0,0,0.0,unga_alignment_score
ZAF,South Africa,,0.0,100,50.0,unga_alignment_score
