# Canonical country mapping table for the Donor Readiness Index
# Key: iso3 (ISO 3166-1 alpha-3)
# income_group: HIC (High Income), UMC (Upper-Middle Income), LMC (Lower-Middle Income), LIC (Low Income)
# wdi_name, imf_name, ida_name: source-specific name variants (blank = same as country_name)
iso3,country_name,income_group,wdi_name,imf_name,ida_name,is_current_donor
TUN,Tunisia,LMC,Tunisia,Tunisia,Tunisia,0
TZA,Tanzania,LMC,nan,nan,nan,0
UZB,Uzbekistan,LMC,nan,nan,nan,0
VNM,Viet Nam,LMC,Viet Nam,Vietnam,Vietnam,0
VUT,Vanuatu,LMC,nan,nan,nan,0
ZMB,Zambia,LMC,nan,nan,nan,0
ZWE,Zimbabwe,LMC,nan,nan,nan,0
ALB,Albania,UMC,nan,nan,nan,0
ARG,Argentina,UMC,Argentina,Argentina,Argentina,0
ARM,Armenia,UMC,Armenia,Armenia,Armenia,0
AZE,Azerbaijan,UMC,Azerbaijan,Azerbaijan,Azerbaijan,0
BIH,Bosnia and Herzegovina,UMC,nan,nan,nan,0
BLR,Belarus,UMC,nan,nan,nan,0
BLZ,Belize,UMC,nan,nan,nan,0
BRA,Brazil,UMC,Brazil,Brazil,Brazil,0
BWA,Botswana,UMC,nan,nan,nan,0
CHN,China,UMC,China,China P.R.: Mainland,China,0
COL,Colombia,UMC,Colombia,Colombia,Colombia,0
CPV,Cabo Verde,UMC,nan,nan,nan,0
CUB,Cuba,UMC,nan,nan,nan,0
DMA,Dominica,UMC,nan,nan,nan,0
DOM,Dominican Republic,UMC,Dominican Republic,Dominican Republic,Dominican Republic,0
DZA,Algeria,UMC,nan,nan,nan,0
ECU,Ecuador,UMC,Ecuador,Ecuador,Ecuador,0
FJI,Fiji,UMC,nan,nan,nan,0
GAB,Gabon,UMC,nan,nan,nan,0
GEO,Georgia,UMC,Georgia,Georgia,Georgia,0
GNQ,Equatorial Guinea,UMC,nan,nan,nan,0
GRD,Grenada,UMC,nan,nan,nan,0
GTM,Guatemala,UMC,Guatemala,Guatemala,Guatemala,0
IDN,Indonesia,UMC,Indonesia,Indonesia,Indonesia,0
IRN,"Iran, Islamic Rep.",UMC,nan,nan,nan,0
IRQ,Iraq,UMC,nan,nan,nan,0
JAM,Jamaica,UMC,nan,nan,nan,0
KAZ,Kazakhstan,UMC,Kazakhstan,Kazakhstan,Kazakhstan,0
LBY,Libya,UMC,nan,nan,nan,0
LCA,St. Lucia,UMC,nan,nan,nan,0
MDA,Moldova,UMC,nan,nan,nan,0
MDV,Maldives,UMC,nan,nan,nan,0
MEX,Mexico,UMC,Mexico,Mexico,Mexico,0
MHL,Marshall Islands,UMC,nan,nan,nan,0
MKD,North Macedonia,UMC,nan,nan,nan,0
MNE,Montenegro,UMC,nan,nan,nan,0
MNG,Mongolia,UMC,nan,nan,nan,0
MUS,Mauritius,UMC,nan,nan,nan,0
MYS,Malaysia,UMC,Malaysia,Malaysia,Malaysia,0
PER,Peru,UMC,Peru,Peru,Peru,0
PRY,Paraguay,UMC,Paraguay,Paraguay,Paraguay,0
SLV,El Salvador,UMC,nan,nan,nan,0
SRB,Serbia,UMC,nan,nan,nan,0
SUR,Suriname,UMC,nan,nan,nan,0
THA,Thailand,UMC,Thailand,Thailand,Thailand,0
TKM,Turkmenistan,UMC,nan,nan,nan,0
TON,Tonga,UMC,nan,nan,nan,0
TUR,Turkiye,UMC,Turkiye,Turkey,Turkey,0
TUV,Tuvalu,UMC,nan,nan,nan,0
UKR,Ukraine,UMC,Ukraine,Ukraine,Ukraine,0
VCT,St. Vincent and the Grenadines,UMC,nan,nan,nan,0
VEN,"Venezuela, RB",UMC,,,,0
WSM,Samoa,UMC,nan,nan,nan,0
XKX,Kosovo,UMC,nan,nan,nan,0
ZAF,South Africa,UMC,South Africa,South Africa,South Africa,0
